==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
4.96853s  6.3500us  cudaStreamSynchronize
4.96858s  5.7260us  cudaMemcpyAsync
4.96859s  6.2790us  cudaStreamSynchronize
4.96863s  5.0680us  cudaMemcpyAsync
4.96864s  6.1510us  cudaStreamSynchronize
4.96868s  11.651us  cudaMemcpyAsync
4.96869s  5.8180us  cudaStreamSynchronize
4.96879s  243.14us  cudaMemcpyAsync
4.96903s  22.261us  cudaStreamSynchronize
4.96912s  7.1880us  cudaMemcpyAsync
4.96913s  6.6400us  cudaStreamSynchronize
4.96916s  5.1380us  cudaMemcpyAsync
4.96917s  6.2040us  cudaStreamSynchronize
4.96920s  4.9760us  cudaMemcpyAsync
4.96920s  6.1310us  cudaStreamSynchronize
4.96926s  9.6070us  cudaMemcpyAsync
4.96927s  6.4700us  cudaStreamSynchronize
4.96931s  11.613us  cudaMemcpyAsync
4.96932s  5.8210us  cudaStreamSynchronize
4.96937s  1.0148ms  cudaMemcpyAsync
4.97038s  69.364us  cudaStreamSynchronize
4.97053s  13.240us  cudaMemcpyAsync
4.97055s  6.7020us  cudaStreamSynchronize
4.97059s  13.633us  cudaMemcpyAsync
4.97060s  6.2740us  cudaStreamSynchronize
4.97065s  5.8650us  cudaMemcpyAsync
4.97065s  6.1320us  cudaStreamSynchronize
4.97068s  6.7410us  cudaMemcpyAsync
4.97069s  4.2200us  cudaStreamSynchronize
4.97072s  4.6690us  cudaMemcpyAsync
4.97072s  6.2170us  cudaStreamSynchronize
4.97078s  456.43us  cudaMemcpyAsync
4.97123s  35.434us  cudaStreamSynchronize
4.97134s  10.342us  cudaMemcpyAsync
4.97135s  6.8630us  cudaStreamSynchronize
4.97140s  14.688us  cudaMemcpyAsync
4.97141s  6.2470us  cudaStreamSynchronize
4.97145s  6.1790us  cudaMemcpyAsync
4.97146s  6.2950us  cudaStreamSynchronize
4.97152s  5.9190us  cudaMemcpyAsync
4.97153s  8.0410us  cudaStreamSynchronize
4.97156s  4.6970us  cudaMemcpyAsync
4.97157s  6.0890us  cudaStreamSynchronize
4.97162s  187.60us  cudaMalloc
4.97185s  910.22us  cudaMemcpyAsync
4.97276s  62.112us  cudaStreamSynchronize
4.97290s  12.383us  cudaMemcpyAsync
4.97291s  6.9430us  cudaStreamSynchronize
4.97296s  14.614us  cudaMemcpyAsync
4.97298s  6.1800us  cudaStreamSynchronize
4.97303s  6.1610us  cudaMemcpyAsync
4.97303s  6.7620us  cudaStreamSynchronize
4.97308s  5.8170us  cudaMemcpyAsync
4.97308s  6.3600us  cudaStreamSynchronize
4.97312s  4.9300us  cudaMemcpyAsync
4.97313s  6.2940us  cudaStreamSynchronize
4.97321s  487.71us  cudaMemcpyAsync
4.97369s  35.559us  cudaStreamSynchronize
4.97381s  11.403us  cudaMemcpyAsync
4.97382s  6.7660us  cudaStreamSynchronize
4.97387s  6.3470us  cudaMemcpyAsync
4.97388s  6.1400us  cudaStreamSynchronize
4.97393s  5.6800us  cudaMemcpyAsync
4.97393s  6.2570us  cudaStreamSynchronize
4.97397s  5.1660us  cudaMemcpyAsync
4.97397s  6.4580us  cudaStreamSynchronize
4.97402s  4.8280us  cudaMemcpyAsync
4.97402s  6.1300us  cudaStreamSynchronize
4.97418s  1.0327ms  cudaMemcpyAsync
4.97521s  68.520us  cudaStreamSynchronize
4.97537s  12.360us  cudaMemcpyAsync
4.97539s  6.9260us  cudaStreamSynchronize
4.97545s  6.3930us  cudaMemcpyAsync
4.97546s  6.0920us  cudaStreamSynchronize
4.97551s  8.3660us  cudaMemcpyAsync
4.97552s  6.2190us  cudaStreamSynchronize
4.97556s  5.3550us  cudaMemcpyAsync
4.97556s  6.1550us  cudaStreamSynchronize
4.97560s  4.6890us  cudaMemcpyAsync
4.97561s  6.0380us  cudaStreamSynchronize
4.97565s  449.88us  cudaMemcpyAsync
4.97610s  35.902us  cudaStreamSynchronize
4.97620s  16.245us  cudaMemcpyAsync
4.97622s  6.5850us  cudaStreamSynchronize
4.97626s  6.2160us  cudaMemcpyAsync
4.97627s  6.3030us  cudaStreamSynchronize
4.97631s  5.7200us  cudaMemcpyAsync
4.97632s  6.2830us  cudaStreamSynchronize
4.97635s  5.5720us  cudaMemcpyAsync
4.97636s  6.6460us  cudaStreamSynchronize
4.97639s  4.7870us  cudaMemcpyAsync
4.97640s  6.1490us  cudaStreamSynchronize
4.97645s  471.72us  cudaMemcpyAsync
4.97693s  35.337us  cudaStreamSynchronize
4.97703s  11.541us  cudaMemcpyAsync
4.97704s  6.8540us  cudaStreamSynchronize
4.97709s  6.2080us  cudaMemcpyAsync
4.97710s  6.4600us  cudaStreamSynchronize
4.97714s  5.7990us  cudaMemcpyAsync
4.97714s  6.1370us  cudaStreamSynchronize
4.97716s  4.3500us  cudaMemcpyAsync
4.97717s  6.1220us  cudaStreamSynchronize
4.97720s  5.0850us  cudaMemcpyAsync
4.97721s  6.2440us  cudaStreamSynchronize
4.97727s  194.13us  cudaMalloc
4.97748s  1.0368ms  cudaMemcpyAsync
4.97852s  69.417us  cudaStreamSynchronize
4.97867s  12.523us  cudaMemcpyAsync
4.97868s  6.8570us  cudaStreamSynchronize
4.97872s  6.0610us  cudaMemcpyAsync
4.97873s  6.3510us  cudaStreamSynchronize
4.97878s  6.2480us  cudaMemcpyAsync
4.97878s  6.3540us  cudaStreamSynchronize
4.97882s  5.3650us  cudaMemcpyAsync
4.97883s  6.2600us  cudaStreamSynchronize
4.97888s  15.237us  cudaMemcpyAsync
4.97889s  4.0860us  cudaStreamSynchronize
4.97894s  455.94us  cudaMemcpyAsync
4.97939s  37.533us  cudaStreamSynchronize
4.97949s  23.475us  cudaMemcpyAsync
4.97951s  7.8230us  cudaStreamSynchronize
4.97956s  14.135us  cudaMemcpyAsync
4.97958s  7.0310us  cudaStreamSynchronize
4.97961s  5.8340us  cudaMemcpyAsync
4.97962s  7.5200us  cudaStreamSynchronize
4.97964s  4.9950us  cudaMemcpyAsync
4.97964s  8.2280us  cudaStreamSynchronize
4.97968s  4.8760us  cudaMemcpyAsync
4.97969s  7.9800us  cudaStreamSynchronize
4.97976s  457.36us  cudaMemcpyAsync
4.98021s  36.279us  cudaStreamSynchronize
4.98032s  9.4390us  cudaMemcpyAsync
4.98033s  7.9110us  cudaStreamSynchronize
4.98036s  5.2990us  cudaMemcpyAsync
4.98037s  7.2470us  cudaStreamSynchronize
4.98040s  14.816us  cudaMemcpyAsync
4.98041s  7.3280us  cudaStreamSynchronize
4.98043s  4.6430us  cudaMemcpyAsync
4.98044s  6.8310us  cudaStreamSynchronize
4.98046s  11.780us  cudaMemcpyAsync
4.98048s  5.8810us  cudaStreamSynchronize
4.98053s  1.0400ms  cudaMemcpyAsync
4.98157s  68.686us  cudaStreamSynchronize
4.98171s  11.834us  cudaMemcpyAsync
4.98173s  7.1220us  cudaStreamSynchronize
4.98178s  6.3350us  cudaMemcpyAsync
4.98179s  6.1910us  cudaStreamSynchronize
4.98182s  5.4300us  cudaMemcpyAsync
4.98183s  6.6520us  cudaStreamSynchronize
4.98185s  4.1570us  cudaMemcpyAsync
4.98185s  6.2590us  cudaStreamSynchronize
4.98188s  4.5340us  cudaMemcpyAsync
4.98189s  6.2780us  cudaStreamSynchronize
4.98193s  457.08us  cudaMemcpyAsync
4.98239s  36.059us  cudaStreamSynchronize
4.98250s  19.979us  cudaMemcpyAsync
4.98253s  6.6360us  cudaStreamSynchronize
4.98257s  6.7670us  cudaMemcpyAsync
4.98258s  6.5610us  cudaStreamSynchronize
4.98263s  6.2680us  cudaMemcpyAsync
4.98264s  6.3190us  cudaStreamSynchronize
4.98268s  5.3880us  cudaMemcpyAsync
4.98268s  6.3330us  cudaStreamSynchronize
4.98271s  4.4920us  cudaMemcpyAsync
4.98272s  5.9620us  cudaStreamSynchronize
4.98277s  221.49us  cudaMalloc
4.98300s  472.59us  cudaMemcpyAsync
4.98348s  36.702us  cudaStreamSynchronize
4.98361s  11.835us  cudaMemcpyAsync
4.98362s  6.7810us  cudaStreamSynchronize
4.98367s  6.2450us  cudaMemcpyAsync
4.98367s  6.1560us  cudaStreamSynchronize
4.98372s  5.8320us  cudaMemcpyAsync
4.98372s  6.2910us  cudaStreamSynchronize
4.98375s  5.1180us  cudaMemcpyAsync
4.98375s  6.1400us  cudaStreamSynchronize
4.98379s  6.9920us  cudaMemcpyAsync
4.98380s  5.8830us  cudaStreamSynchronize
