==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
4.96041s  17.432us  cudaStreamSynchronize
4.96043s     647ns  cudaSetDevice
4.96232s  2.2500us  cudaGetDevice
4.96234s     460ns  cudaGetDevice
4.96236s     318ns  cudaGetDevice
4.96236s     287ns  cudaGetDevice
4.96237s     360ns  cudaGetDevice
4.96237s     246ns  cudaGetDevice
4.96237s     292ns  cudaGetDevice
4.96238s  1.8260us  cudaSetDevice
4.96238s     283ns  cudaSetDevice
4.96239s     422ns  cudaGetDevice
4.96240s     255ns  cudaGetDevice
4.96240s  28.852us  cudaMemcpyAsync
4.96243s  7.4600us  cudaStreamSynchronize
4.96243s     461ns  cudaSetDevice
4.96248s     664ns  cudaGetDevice
4.96248s     288ns  cudaGetDevice
4.96249s     260ns  cudaGetDevice
4.96249s     272ns  cudaGetDevice
4.96249s     253ns  cudaGetDevice
4.96249s     247ns  cudaGetDevice
4.96249s     253ns  cudaGetDevice
4.96249s  11.274us  cudaSetDevice
4.96250s     281ns  cudaSetDevice
4.96251s     408ns  cudaGetDevice
4.96251s     247ns  cudaGetDevice
4.96251s  18.969us  cudaMemcpyAsync
4.96253s  5.0350us  cudaStreamSynchronize
4.96254s     403ns  cudaSetDevice
4.96261s     640ns  cudaGetDevice
4.96262s     296ns  cudaGetDevice
4.96262s     260ns  cudaGetDevice
4.96262s     263ns  cudaGetDevice
4.96262s     250ns  cudaGetDevice
4.96262s     248ns  cudaGetDevice
4.96262s     249ns  cudaGetDevice
4.96262s     597ns  cudaSetDevice
4.96262s     275ns  cudaSetDevice
4.96263s     406ns  cudaGetDevice
4.96263s     254ns  cudaGetDevice
4.96263s  13.392us  cudaMemcpyAsync
4.96265s  6.1250us  cudaStreamSynchronize
4.96265s     433ns  cudaSetDevice
4.96269s     597ns  cudaGetDevice
4.96269s     272ns  cudaGetDevice
4.96269s     263ns  cudaGetDevice
4.96269s     262ns  cudaGetDevice
4.96269s     250ns  cudaGetDevice
4.96269s     249ns  cudaGetDevice
4.96269s     246ns  cudaGetDevice
4.96269s     436ns  cudaSetDevice
4.96269s     277ns  cudaSetDevice
4.96270s     410ns  cudaGetDevice
4.96270s     248ns  cudaGetDevice
4.96270s  12.763us  cudaMemcpyAsync
4.96272s  5.9000us  cudaStreamSynchronize
4.96272s     384ns  cudaSetDevice
4.96274s     558ns  cudaGetDevice
4.96274s     264ns  cudaGetDevice
4.96274s     262ns  cudaGetDevice
4.96274s     264ns  cudaGetDevice
